function,timestamp,total,setup,initialization,execution
aws-coldstart-ruby25-dev-memory-256,2019-03-06T23:01:23.108Z,182.0,83.0,88.2,10.8
aws-coldstart-ruby25-dev-memory-256,2019-03-06T23:03:53.696Z,186.0,88.4,88.7,8.9
aws-coldstart-ruby25-dev-memory-256,2019-03-06T23:02:14.306Z,202.0,62.4,127.6,12.0
aws-coldstart-ruby25-dev-memory-256,2019-03-06T23:06:25.396Z,198.0,79.4,100.2,18.4
aws-coldstart-ruby25-dev-memory-256,2019-03-06T23:04:57.789Z,392.0,200.9,178.6,12.5
aws-coldstart-ruby25-dev-memory-256,2019-03-06T22:55:22.198Z,429.0,207.1,181.1,40.8
aws-coldstart-ruby25-dev-memory-256,2019-03-06T22:40:51.073Z,413.0,216.3,167.5,29.2
aws-coldstart-ruby25-dev-memory-256,2019-03-06T22:57:42.352Z,221.0,74.2,127.4,19.4
aws-coldstart-ruby25-dev-memory-256,2019-03-06T22:48:02.917Z,222.0,110.9,91.3,19.8
aws-coldstart-ruby25-dev-memory-256,2019-03-06T22:41:31.764Z,365.0,186.8,167.7,10.5
aws-coldstart-ruby25-dev-memory-256,2019-03-06T22:43:09.273Z,198.0,79.5,102.6,15.9
aws-coldstart-ruby25-dev-memory-256,2019-03-06T22:45:29.547Z,203.0,101.3,91.8,9.9
aws-coldstart-ruby25-dev-memory-256,2019-03-06T22:56:14.271Z,201.0,94.7,87.9,18.4
aws-coldstart-ruby25-dev-memory-256,2019-03-06T22:52:15.720Z,188.0,88.8,82.1,17.1
aws-coldstart-ruby25-dev-memory-256,2019-03-06T22:46:44.260Z,195.0,75.6,103.4,16.0
aws-coldstart-ruby25-dev-memory-256,2019-03-06T22:39:14.194Z,275.0,155.1,103.9,16.0
aws-coldstart-ruby25-dev-memory-256,2019-03-06T22:15:46.357Z,219.0,99.4,79.3,40.3
aws-coldstart-ruby25-dev-memory-256,2019-03-06T22:16:45.653Z,166.0,83.6,79.9,2.5
aws-coldstart-ruby25-dev-memory-256,2019-03-06T22:44:06.048Z,203.0,89.0,94.5,19.5
aws-coldstart-ruby25-dev-memory-256,2019-03-06T22:53:49.305Z,211.0,91.6,98.9,20.5
aws-coldstart-ruby25-dev-memory-256,2019-03-06T19:36:16.171Z,199.0,98.3,80.6,20.1
aws-coldstart-ruby25-dev-memory-256,2019-03-06T22:12:31.644Z,165.0,79.9,83.0,2.1
aws-coldstart-ruby25-dev-memory-256,2019-03-06T22:14:23.464Z,183.0,88.8,87.4,6.8
aws-coldstart-ruby25-dev-memory-256,2019-03-06T22:36:39.224Z,219.0,93.1,104.7,21.2
aws-coldstart-ruby25-dev-memory-256,2019-03-06T22:38:09.276Z,183.0,84.5,91.1,7.4
aws-coldstart-ruby25-dev-memory-256,2019-03-06T19:41:04.705Z,198.0,87.0,102.4,8.6
aws-coldstart-ruby25-dev-memory-256,2019-03-06T19:37:08.388Z,184.0,88.9,88.7,6.4
aws-coldstart-ruby25-dev-memory-256,2019-03-06T19:24:11.324Z,203.0,109.4,91.1,2.5
aws-coldstart-ruby25-dev-memory-256,2019-03-06T19:28:31.422Z,179.0,81.1,80.9,17.0
aws-coldstart-ruby25-dev-memory-256,2019-03-06T19:33:42.287Z,181.0,77.8,87.3,15.9
aws-coldstart-ruby25-dev-memory-256,2019-03-06T19:22:39.839Z,357.0,187.2,162.9,6.9
aws-coldstart-ruby25-dev-memory-256,2019-03-06T19:38:47.617Z,172.0,81.8,79.2,11.0
aws-coldstart-ruby25-dev-memory-256,2019-03-06T19:25:39.813Z,191.0,98.6,90.1,2.3
aws-coldstart-ruby25-dev-memory-256,2019-03-06T19:21:22.080Z,197.0,100.1,89.0,7.9
aws-coldstart-ruby25-dev-memory-256,2019-03-06T19:39:59.710Z,193.0,108.4,82.3,2.3
aws-coldstart-ruby25-dev-memory-256,2019-03-06T19:34:29.108Z,374.0,201.2,157.3,15.5
aws-coldstart-ruby25-dev-memory-256,2019-03-06T19:32:30.727Z,163.0,76.9,84.0,2.1
